Its content has classic and tragic dimensions beyond politics.	This film has received a lot of praise from critics, but not that many people will find this that entertaining.	Both a how-to manual for guerrilla terrorism and a cautionary tale about how to fight it. It's also quite possibly the finest war film ever made.	The price of invasion has never been more poignantly spelled out than in this classic film.	'The Battle of Algiers' serves potent warning to those who envision warfare, or any Western-dictated settlement, in areas so hungry and so foreign.	A powerful, documentary-like examination of the response to an occupying force, The Battle of Algiers hasn't aged a bit since its release in 1966.
The film is so jubilantly over the top and aware of its own failings, it's hard not to laugh.	It knows what it's doing and it's awesome... Crank relishes in its outrageous stunts... Jason Statham is a one man Die Hard.	An instant cult classic. Pure, hardcore moviemaking backed by an inane plot, unrelenting action and zero pretensions.	For moviegoers who found Running Scared a little too sedate.	So blatantly contrived it could be called The Fast and the Spurious, Crank has the small saving grace of being intentionally ridiculous.	It's a film about a guy injected with Speed... wait, there's no bus. It's a film about a guy who has to kick a bunch of squirmy butt to stay alive... wait, no snakes or planes here. But it is a film about doing lots of drugs and pulling lots of punches, and it entertains accordingly.
[P]imping... Paris Hilton to movie audiences is [the] primary reason for the existence of this crass 'remake'...	The film does everything that teen horror flicks are supposed to do, but Hilton undermines it all by not even trying to act.	Forty-five minutes of stultifying boredom, followed by preposterous carnage pilfered from The Texas Chainsaw Massacre.	As slick as it is, House of Wax basically serves up the kind of gory, oozing jolts that will transport some toward a kind of antic release and others towards the nearest exits.	This isn't boring, but is as predictable as can be.	Bearing little resemblance to the 1953 original, House of Wax is a formulaic but better-than-average teen slasher flick.
This one is really for Fraser die-hards only.	There's not one joke, one slapstick moment, one innuendo that's funny.	Though occasionally producing a minor chuckle, Dudley Do-Right is mainly characterized by good artists making bad choices.	I always wondered how the original producer, Jay Ward, could squeeze out a 5 minute segment each week on such a flimsy premise. Now the big question is how some bigwig executive thought they could squeeze out an 80 minute movie on the same idea.	Pacing is slow in this comedy, as if actors are waiting -- along with the weary kids and adults in the audience -- for anyone to say something funny. We're still waiting.	Gags aren't that funny.
Awkward camera angles, editing and pacing of some fight sequences gives a direct-to-video at times. If you're a fan of the last two Underworld movies and are willing to suspend your disbelief and to check your brain at the door for 93 minutes, you'll at l	Feels like a superfluous placeholder until Kate Beckinsale and Len Wiseman are available and ready to make a true third installment in the series.	And this time there aren't even any leather pants.	The numerous action sequences, while imaginative, lack a visual cohesion that allows them to be fully appreciated.	Lacks the Gothic coolness that made the original such an underground hit.	Despite the best efforts of its competent cast, Underworld: Rise of the Lycans is an indistinguishable and unnecessary prequel.
The unforced and honest power of the emotion ever so quietly sneaks up on you by film's end.	A breakout performance by Jake Gyllenhaal!	There's hope, heroism, and Dern as a dying schoolmarm, but October Sky falls flat due to its all-too-obvious third act and the vague fact that, really, not that much happens.	October Sky is exactly the sort of Hollywood picture we need to see more often: cleanly written, capably filmed, and focused on a young person who's determined to turn his life in constructive, creative directions.	spirited, exciting entertainment that delivers on any number of levels - and you don't have to be a youngster to enjoy it.	Rich in sweet sincerity, intelligence, and good old-fashioned inspirational drama, October Sky is a coming-of-age story with a heart to match its Hollywood craftsmanship.
Offers a smorgasbord of distinct styles as it compiles an unprecedented movie mix tape of poetic interludes.	After having seen the 18 pieces that made the final cut, I can't help wondering on what grounds the two rejected works were judged unworthy.	The results are uneven, but with each segment focused on a different arrondissement and only about five minutes in length, one does not have to linger in any neighborhood -- good or bad -- for very long before its time to move on.	From comedy to drama, varied anthology is worth the trip.	The bee's knees, the cat's pajamas and the lobster's dinner shirt of movies currently playing.	Paris Je T'aime is uneven, but there are more than enough delightful moments in this omnibus tribute to the City of Lights to tip the scale in its favor.
Bridges inhabits Bad fully, and cleverly uses our decades of fondness for him as an actor to give us a way to connect to his troublesome character.	Jeff Bridges continues to astonish, in this case even making an ordinary movie into something better.	In this country ballad%u2013like movie that's earning Jeff Bridges Oscar buzz, he plays a downward-spiraling musician. Bridges offers a great performance, but his hokey romance with Maggie Gyllenhaal clashes with the film's gritty realism,	Bridges is perfectly attuned to every nuance of the character he plays in Crazy Heart ...	Now that I've seen Jeff Bridges' portrayal of Blake ... I can't imagine another actor occupying the role.	Thanks to a captivating performance from Jeff Bridges, Crazy Heart transcends its overly familiar origins and finds new meaning in an old story.
Carnahan delivers a genre movie that turns in fresh ways without screaming to the audience that it is turning your head...	This is a dark, depressing, excessively violent, profusely profane film, not for the squeamish or anyone who likes elevating entertainment.	The movie fairly bristles -- with degraded-image '70s grit ... handheld hysteria, thickly profane dialogue, abject bloodletting, and post-Method performances.	See this one for acting and atmosphere.	Narc isn't the great movie the gifted Carnahan probably has in him, but it's a great cop B-movie.	Jason Patric and Ray Liotta are electrifying in this gritty, if a little too familiar, cop drama.
A splendid experience: the dialogue, the acting, the depiction of London, the lust, jealousy and intrigue.	Shakespeare himself would probably love it. He did write Twelfth Night, for goodness sake.	Anonymous is earnest, high-camp and regularly ridiculous, but it's also a fun and gripping adventure for lovers of stagecraft or Tudor mystery.	There's absolutely nothing pleasurable about this self-serious and remarkably stupid drama.	It may be one of the signs of the apocalypse, but thanks to a well-written screenplay, spot-on performances, and a fantastic production design, Emmerich has finally made a great film.	Roland Emmerich delivers his trademark visual and emotional bombast, but the more Anonymous stops and tries to convince the audience of its half-baked theory, the less convincing it becomes.
Its flighty quarter-life crisis theme [will be] familiar to anyone who's seen five minutes of Girls.	Frances Ha is endearing, kind and, in many ways, Noah Baumbach's best movie to date.	Blessedly more interested with being funny and relatable than it is with trying to make pretentious statement about generational or societal detachment.	[Frances Ha] may feel tossed-off, but like the early French New Wave films that inspired it, this affectionate portrait of wayward young folks trying to survive, emotionally and professionally, in the big city is both touching and meaningful.	Gerwig superbly incarnates the contradictions of this insecure woman.	Audiences will need to tolerate a certain amount of narrative drift, but thanks to sensitive direction from Noah Baumbach and an endearing performance from Greta Gerwig, Frances Ha makes it easy to forgive.
In a single day, through a single pair of eyes, Trier and Lie give us an emblem for the world.	It's an absolutely moving and devastating film, and one of the most jarring looks at addiction you'll ever see on screen.	Sad, but wise, and clear-eyed about what it means to drift through life until it's suddenly too late to turn back.	An astounding achievement, Joachim Trier's haunting film will stay with you for weeks.	Trier's film takes us to some desperate places, but it earns that despair with clear eyes, and the sense of character is finely-honed...	An upfront study of a drug addict confronting his demons, Oslo, August 31st makes this dark journey worthwhile with fantastic directing and equally fantastic acting.
[A] powerful, mesmerizing thriller, a masterful exercise in controlling an audience`s attention.	One of the most subversive films of the 1980s, delving into the corrupt underside of the then-idealized faux innocence of the 1950s with an almost alarming ferocity.	Blue Velvet is a film for the aficionado. Pity the viewer who wanders into the movie unprepared.	Kinkiness is its salient quality, but Blue Velvet has deadpan humor too, as well as a straight-arrow side that makes its eccentricity all the crazier. There's no mistaking the exhilarating fact that it's one of a kind.	Destined to become a cult classic, Blue Velvet presents what is probably the most original cinematic vision to come along this year. Undoubtedly, it will be too strong for many tastes.	If audiences walk away from this subversive, surreal shocker not fully understanding the story, they might also walk away with a deeper perception of the potential of film storytelling.
Besson's incomparable film is almost impossible to beat and there's yet to be a director who could match his magnum opus...	Luc Besson's original cut feels more like a journey than just a joy-buzzer jolt of action, and the deeper, braver, darker story he set out to tell - a fractured and fractious fairy tale. When people rave about "The Professional," they mean "Léon."	You'll enjoy the action, but you'll remember the movie because of Reno and Portman.	Top-notch thriller.	Besson's skills of action director are enough to guarantee entertainment.	Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
A documentary about a rich couple riding the waves of wealth and greed and then plunging downwards.	By the end, the movie has pulled off a small miracle: You become absorbed in the lives of these people for who they are and not what they own.	I feel contempt for my contempt for these people. Whether that's my problem or the film's, I'm not entirely sure, but I'm leaning toward blaming Greenfield.	There's more going on here than classist derision, and the filmmaker uses her footage to try to sort out her feelings.	Porn without penetration is sometimes how this doc impacts in its candid, unapologetic look at a once white-bread couple who vault to billionaire status and fall hard when the 2008 financial crisis hits.	The Queen of Versailles is a timely, engaging, and richly drawn portrait of the American Dream improbably composed of equal parts compassion and schadenfreude.
A hideously annoying and emotionally blank tale.	A trite compendium of everything that's wrong with non-Pixar computer-animated feature films.	A thin joke becomes attenuated to breaking point.	Do anal probe gags sound like fine family entertainment? How about multiple scenes depicting ugly gay panic? Not to worry; a penis joke referring to a male member as an 'antenna' is right around the corner.	It's cute, it's passable, the animation is fine--but the major problem with the film is its predictability.	Planet 51 squanders an interesting premise with an overly familiar storyline, stock characters, and humor that alternates between curious and potentially offensive.
It may seem strange to contemplate the possibility that sharks are more victim than vicious. Yet after Stewart makes his case you may find them and their cause, as he does, all-consuming.	Thanks to [t]his sometimes gruesome, sometimes harrowing and often exuberant film, you will never look at sharks the same way again.	the 'reality drama' that unfolds on-screen takes viewers away from the real ecological issue (much as it took Stewart away from his diving)	Stewart, a Toronto-based marine biologist and underwater photographer, makes up for in passion what he lacks in narrative subtlety.	Stewart's point is that the shark fin industry, in its short-sighted quest for financial gain, may trigger an ecological disaster beyond the extinction of the sharks themselves. This is depressing, but important, stuff.	In addition to its breathtaking underwater photography, Sharkwater has a convincing, impassioned argument of how the plight of sharks affects everyone.
A unique, kooky gem.	strives to be offbeat and sometimes works itself into a sweat doing so. The humor often hits the bullseye, however...	Forget Citizen Kane. As a matter of history, this seminal film is unquestionably the finest work of cinema ever made. Required viewing for all students and fans of the art form.	Although the plot is sweet and simple, the laughs are what make this movie stand out.	John Cusack launched his career as a lovable loser at love with this teen comedy about a guy who gets dumped when his girlfriend decides to trade up.	Better Off Dead is an anarchic mix of black humor and surreal comedy, anchored by John Cusack's winsome, charming performance.
Great fun if not quite the great teen pic some believe it to be.	Fast Times has not endured the passage of time.	How could they do this to Jennifer Jason Leigh? How could they put such a fresh and cheerful person into such a scuz-pit of a movie?	[VIDEO ESSAY] "Fast Times at Ridgemont High" is a remarkable outlier in the teen movie genre even if tone-deaf critics such as Roger Ebert panned the film upon its released in 1982.	Was never all it was cracked up to be.	While Fast Times at Ridgemont High features Sean Penn's legendary performance, the film endures because it accurately captured the small details of school, work, and teenage life.
The filmmaker makes peace with his difficult youth by accepting that every life is filled with both darkness and light.	Here the legacy of blood flows in both directions, replicating itself in an infinite dance. While the first half focuses on young Alejandro's relationship with macho authoritarian Jaime, the second is as much about the father's own coming of age.	I appreciate the theatricality of Jodorowsky and his imaginative and hallucinatory way of telling his story. He is definitely a man who follows his own path.	Jodorowsky's images can be stunning, and his ability to acknowledge pain without being depressing is a rare gift. The film is a wayward dream but well worth embracing.	A film with an imagination as big as its heart - which is mighty grand, and more powerful than authoritarianism.	This long-overdue return from Alejandro Jodorowsky finds him just as overflowing with imagination -- and heart -- as fans have come to expect.
Director Marcus Nispel continues in Pathfinder the gory/lame tradition he began with his Texas Chainsaw Massacre remake.	The movie takes us on a journey to an ugly, contentious period in our misty, ancient past -- all the way back to four months ago, when Apocalypto came out.	Pathfinder is simultaneously action-packed and a total bore, a strange movie that never seems to move even though it consists of almost nothing but violence.	Must the 13-year-old boy Hollywood seems most eager to please also be a sadist? First came Apocalypto, then 300, now Pathfinder.	There's a fan's sincere hokeyness about Pathfinder that makes the experience relatively painless, in spite of the number of people who get tortured, decapitated or dismembered.	A few rousing action sequences can't make up for Pathfinder's non-existent plot and silly dialogue.
Pretty much all of Never Back Down is shot like an episode of Punk'd, with a soundtrack from an MTV2 playlist. Which is all perfectly appropriate and kinda fun.	Bloody fight film has heart, but it's no champion.	A formula flick that should have tapped out in the script stage.	Maybe it's just a genre picture, but scene after scene in Never Back Down displays vitality and wit. This is the year's first good-looking and fully enjoyable American movie.	Bruising but brainless teen action-melodrama...like a match that delivers a few good punches but drags on to a dull and predictable end.	Though not without its pleasures, Never Back Down faithfully adheres to every imaginable fight movie cliché.
At the heart of this art is the thrill of the then-new: when Pinocchio hits sea-base and gushes "Gee! What a big place!", we share a sense of joy at the filmmakers' creative adventures.	Nope, no perverted subtext here.	The moral lessons include a literalization of metaphors about lying and other forms of misbehaving, and the grasp of a little boy's emotions and behavior often borders on the uncanny.	Clearly the high-water mark of Disney's animated features; very nearly the high-water mark of American commercial film.	The original Scared Straight!	Ambitious, adventurous, and sometimes frightening, Pinocchio arguably represents the pinnacle of Disney's collected works -- it's beautifully crafted and emotionally resonant.
The band scenes are downright gladiatorial in their visceral impact and energy...edited with the tightness of a snare drum and photographed with the geometrical majesty of a Busby Berkeley musical.	More than compensating for the formula script are Drumline's tuneful glory and driving rhythms, along with a pulsating vitality that never flags.	...enthusiastically invokes the percussion rhythm, the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games.	Charles Stone III has assembled a diverse and dramatic piece of material that is indebted as much to America's love of sports as it is to America's problems with raising men.	I love that we get into this world of marching bands. We barely see any football players -- we see the top of their helmets as they're getting out of the way.	Essentially a sports movie with drums, the energetic Drumline somehow manages to make the familiar seem fresh.
In 'The Rocket' the children and outcasts triumph because they are innocent enough to believe and act as though the impossible is possible.	The Rocket is a thoroughly infectious yarn set among the jungles of Laos.	The Rocket is a well-constructed delivery system for sparkly cheer, but it lacks a more substantial payload.	Inescapeable hopelessness turns out to be neither	A hugely enjoyable, thoroughly infectious feature debut.	A feel-good success crafted with care, Kim Mordaunt's story of two young kids in Laos is a heartfelt audience pleaser while remaining sensitive toward its subjects.
Thoroughly confounding the 'normal' relationship between abuser and victim, first-time director Slade presents a complex morality tale under the guise of an exploitation thriller.	Hard Candy is supposed to be another cautionary tale about the dangerous risks of online chat-room dating, but ends up being just another psychological horror flick about pedophilia in which Little Red Riding Hood turns the tables on the wolf.	This is one particularly edgy and disturbing little film, and it will no doubt have people talking by the end of the year -- if not for its taboo subject matter, then for the brilliant performance by its Lolitaesque star, Ellen Page.	While I couldn't recommend Hard Candy [rated R] for its easy entertainment value, it is worth seeing for how a relative newcomer like David Slade handles a high tension two hander.	There is no question that Hard Candy is an intense and unnerving little film. But when all is said and done it's a rather empty exercise in hot button pushing.	Disturbing, controversial, but entirely engrossing, Hard Candy is well written with strong lead performances, especially that of newcomer Ellen Page. A movie that stays with the viewer long after leaving the theater.
It is well written, contains a flock of colorful characters, and gives star Mel Gibson a number of great one-liners.	Makes up for its faults with nearly non-stop action and some amusing tongue-in-cheek humor.	Rehashed Quentin Tarantino or a rusted-out Pinto.	Sadly, though, Payback finally puts Gibson at the mercy of a torture and sadism sequence so attenuated and so painful to watch that it sabotages the picture's own quite solid instincts for theater, innovation and wit.	In the popcorn sense, it certainly delivers on mindless escapism. In the artistic sense, let's just say that Payback is a long way from Point Blank.	Sadistic violence and rote humor saddle a predictable action premise.
Much like Errol Morris' "The Fog of War," Dror Moreh's film is a sobering inside look inside history, at mistakes made and opportunities missed.	The Gatekeepers doesn't play like agitprop. The storytelling is strong, the images stark.	The Israeli journalist Dror Moreh has hit a documentarian's trifecta with "The Gatekeepers."	The filmmaker doesn't speculate about why these men are talking, but he leaves you with an excellent guess.	Moreh employs a direct interviewing style, reminiscent of Errol Morris' work, to get the men to talk about their days leading Shin Bet.	Strikingly stark, brutally honest, and rivetingly assembled, The Gatekeepers offers essential perspective on a seemingly intractable war from some of the men who fought it.
Hader and Wiig give rich, nuanced performances that reflect the chemistry the two actors honed together from their years on Saturday Night Live.	It seems unlikely that The Skeleton Twins is aiming for something so simplistic, considering how much suffering it packs into the story, but simplistic is what it is.	Caustically wry and cloyingly sentimental, The Skeleton Twins is a crowdpleaser.	One of the stronger ensemble movies of the year but the drama offers crowd-pleasing tricks and tissue-thin pop psychology.	The bond between siblings is made very real by Wiig and Hader, who make that old line about laughing until you cry genuinely believable.	Led by powerful performances from Kristen Wiig and Bill Hader, The Skeleton Twins effectively mines laughs and tears from family drama.
Far from classic but it is interesting to watch for its take on the pre-Disnified New York landscape following the company's real estate foray into the iconic downtown core.	The computer-assisted animation is relatively stiff and inexpressive.	Lacks the classic Disney charm that works for adults as well as kids	This is a funny, enjoyable family treat.	Even as a cartoon poodle, Bette Midler stops the show.	Oliver & Company is a decidedly lesser effort in the Disney canon, with lackluster songs, stiff animation, and a thoroughly predictable plot.
Easygoing satire of mythical determinism	Saturday matinee fun in the finest tradition.	In a cinema landscape populated with all kinds of digitally created creatures and setpieces, it's nice to take a look back and witness the birth of these ideas.	The straight story of Jason's exploits, told with magic and imagination and a minimum of studio trickery, might have been delightful. This version is more bull than Bulfinch.	"Jason and the Argonauts" features some of Harryhausen's most memorable stop-motion creations, including the giant bronze statue Talos and a creepy army of swordfighting skeletons.	Don Chaffey's Jason and the Argonauts is an outlandish, transportive piece of nostalgia whose real star is the masterful stop-motion animation work of Ray Harryhausen.
This unique work does humanise the two directors, but also shows that these two fallible humans are capable of making wonderful if not perfect cinematic works.	A fascinating meditation on filmmaking and a remarkable intellectual exercise.	If this sounds like Jackass for intellectuals, that's because it is, but without the laughs.	It's amusing only if you agree not to think very much about it.	Leth leaves the viewer both exhilarated and maybe even optimistic about the capacity of human intelligence and creativity.	Both an intriguing intellectual exercise and an amusing look at the contrasts between the two filmmakers.
2012 does answer the question of what a filmmaker with no great attachment to logic does when he can't choose between instruments of destruction. The answer: he exploits them all.	An Oscar-caliber cast and dazzling visual effects can't rescue this formulaic disaster flick from a script flooded with generic dialogue and preposterous plot points.	In the proud tradition of Roland Emmerich movies, "2012" is incredible in every sense of the word: totally not credible, and yet hugely entertaining.	This isn't disaster porn, it's a disaster gang-bang.	It's the end of the world as escapism. It's an event movie. It's daft. The visual effects are amazing. See it on a big screen.	Roland Emmerich's 2012 provides plenty of visual thrills, but lacks a strong enough script to support its massive scope and inflated length.
'Puss in Boots' is uneven, but when it's on course, cat fans will be in heaven.	Purr-fect fun for rugrats mourning the end of the Shrek series.	Puss in Boots is certainly not the cat's meow, but it doesn't deserve a place in the litter box either.	Where are Shrek, Fiona andgulpDonkey when you need them?	Every time Puss opened his mouth to speak I was so captivated by his gnashers they helped to make this one of the most entertaining animations I've seen since The Incredibles and Happy Feet.	It isn't deep or groundbreaking, but what it lacks in profundity, Puss in Boots more than makes up for with an abundance of wit, visual sparkle, and effervescent charm.
Such a bland and lifeless experience even the most ardent of Scott Sanders or Michael Jai White fans will do well to not grow bored before the end.	If you revel just a tiny bit in the 'blaxploitation' genre, then Black Dynamite is a sweet stew of shut-yo'-mouth that'll keep you loaded with glee for its apt 90 minutes.	Before an hour has passed tedium overtakes Black Dynamite -- one corny martial-arts sequence turns out to be plenty -- and all the good jokes dry up.	Here, the acting, framing, focus, blocking, editing, sound and film processing all nail down the period so perfectly... It looks, sounds and feels as if it were shot in 1972.	As Dynamite kung-fu-fights his way through a vast conspiracy involving smack-addled orphans, malt liquor, and the best (read: worst) exploding-car scene of 2009, you'll feel a rush of '70s nostalgia you never knew you had.	A loving and meticulous send-up of 1970s blaxsploitation movies, Black Dynamite is funny enough for the frat house and clever enough for film buffs.
A Western-tinged adventure whose innovations are so scant that the only things keeping the enterprise afloat are clumsy references to its predecessors.	Milla Jovovich does a female chauvinist dressed-to-kill biker babe, while dodging cannibalistic crows. Rarely has mass murder been so dull. Pass the smelling salts.	The franchise is becoming almost as mindless as the zombies it portrays, lumbeirng on with only repetitive instinct, while all true vitality has long since passed away.	One or two good action sequences keep boredom at bay for a while, but so little of it is fresh that extinction can't come too soon.	Those zombies are back on the march in the third instalment of the horror-action series that plays like a rip-off of George A Romero's Day Of The Dead, only with a much lower IQ.	Resident Evil: Extinction is more of the same; its few impressive action sequences unable to compensate for the pedestrian plot.
The Rock reveals his classy transition from WWE star to a charming and charismatic big-screen action hero.	The Rock proves he can kick [butt] with clothes on.	Mildly entertaining action movie with The Rock.	With surprising presence and quiet confidence, The Rock has cooked up a winner.	Connoisseurs of Christopher Walken, and there are some hard-core addicts lurking about, will have good reason to take in The Rundown -- they can add a few more riches to their treasure chest of Wonky Walken Moments.	The Rundown doesn't break any new ground, but it's a smart, funny buddy action picture with terrific comic chemistry between Dwayne "The Rock" Johnson and Seann William Scott.
In plot, it meanders. In character development, it implodes. In action, it plods. In effect, it numbs, but, alas, not quickly enough.	Director Paul McGuigan serves this up with a flashy swagger but there is no disguising the fact that it is an incomprehensible mess.	One of the better recent attempts at cashing in on the superhero film craze without having an actual comic book to adapt.	It's the kind of film you wish had no sound - perhaps the studio should have eliminated the dialogue and replaced it cue cards every few minutes like the silent films of old.	Push is this year's Jumper. 'Nuff said.	The sci-fi thriller Push is visually flashy but hyperkinetic and convoluted.
A pleasant and worthy addition to a strong series of films.	Lovingly crafted.	A charming film, infused and emotionally heightened by the imagination of memory.	A pleasure to behold.	With well-written characters and a humorous script, the entire cast shines.	A moving film with moments of humor, Liberty Heights succeeds in capturing the feel of the '50s with great performances and sensitive direction.
The comedy in the film works very well. The romance isn't quite as convincing, but good acting and romantic chemistry prevail.	In contrast to the horrifically stupid, dull romantic comedies the past month or two have brought us, How to Lose a Guy in 10 Days is almost, but not quite, a breath of fresh air.	It goes on too long and is trapped by too many cliches.	Mutual deception as a comedic conceit predates Shakespeare, and it certainly shows its age in this creaker.	This film sticks like high heels in gravel coming out of the gate. But after the necessary unpleasantness are over the bulk of the film is actually quite entertaining, funny and, well, cute.	Matthew McConaughey and Kate Hudson are charming together, but they can't overcome How to Lose a Guy in 10 Days' silly premise and predictable script.
No matter how hard the film tries to challenge bourgeois notions of wedded bliss, it's all so very civilized.	Brice manages admirably to make his comedy at once daring and earnest, outlandish and relatable, obscene and sweet.	There's an insidious cleverness to "The Overnight" that keeps the audience just a bit off balance.	"The Overnight" is not, by any means, for everyone, what with its adult themes and sexual scenarios, but it's clever and well-acted, and even a bit insightful, which is more than most big movies can say.	Even as sex comedies go, this one is slight, but it's funny.	Witty and unpredictable, The Overnight benefits from writer-director Patrick Brice's sure-handed touch and strong performances from a talented cast.
A touching and haunting film that is more uplifting than its central theme suggests, Time To Leave leaves us with much to reflect upon, and consider.	A cinematic tone poem, wafting on wistful tableaus and sad faces....mostly elaborates on how death must ultimately be a personal experience.	Romain sees his inner child wherever he goes. The problem is, that childishness is all we really understand about the character. Nothing else punches through.	...surprisingly unengaging [and] utterly devoid of humor.	Another year, another minimal but solid offering from François Ozon	A reflective look at our own mortality through the experience of a middle-aged French man, Time To Leave manages to pull at our heart strings without resorting to cliches, and leaves a lasting impression.
